Source,"Product 
Type",TableName,Source System FIeld Name,IMPACTED FIELD FOR RULE CODE (for DQ team reference),New_Rule_Code_Format,Data Field,Rule Description,Logic,main_table,main_column,sub_table,sub_column,dependency_table,dependency_column,rule_logic_desc
AMS,_,"FLACM
","FLACM.FLMBGC
FLACM.FLMLA#","Entity Type
Account Number",Acc_Number_1_AMS,Account Number,Acc Num <> BLANK or NULL,,"FLACM
",FLACM.FLMLA#,,,,,Cannot be blank or null with Entity Type
CLS,_,"CFMAST
LNMAST","CFMAST.CFCOD2
LNMAST.ACCTNO","Entity Type
Account Number",Acc_Number_1_CLS,Account Number,Acc Num <> BLANK or NULL,,LNMAST,LNMAST.ACCTNO,,,,,Cannot be blank or null with Entity Type
CPR,_,FTDWD605,FTDWD605.CB_INDIVIDUAL_ACCTNO,"Entity Type
Account Number",Acc_Number_1_CPR,Account Number,Acc Num <> BLANK or NULL,,FTDWD605,FTDWD605.CB_INDIVIDUAL_ACCTNO,,,,,Cannot be blank or null with Entity Type
LOC,_,"TB_LOC_ACCT
TB_LOC_CUST_ACCT","TB_LOC_ACCT.ACCTNO
TB_LOC_CUST_ACCT.CURTIDNO","Account Number
Id number",Acc_Number_1_LOC,Account Number,Acc Num <> BLANK or NULL,,TB_LOC_ACCT,TB_LOC_ACCT.ACCTNO,,,,,Cannot be blank or null with Entity Type
TCS,Loan,MIS006,MIS006.MI006_MEMB_CUST_AC,"Entity Type
Account Number",Acc_Number_1_TCS_1,Account Number,Acc Num <> BLANK or NULL,,MIS006,MIS006.MI006_MEMB_CUST_AC,,,,,Cannot be blank or null with Entity Type
TCS,Deposit,MIS007,MIS007.MI007_MEMB_CUST_AC,"Entity Type
Account Number",Acc_Number_1_TCS_2,Account Number,Acc Num <> BLANK or NULL,,MIS007,MIS007.MI007_MEMB_CUST_AC,,,,,Cannot be blank or null with Entity Type
Tomswin,_,"TMS_Accounts
TMS_Transactions","TMS_Accounts.ACCOUNT_SOURCE_UNIQUE_ID
TMS_Transactions.ACCOUNT_SOURCE_UNIQUE_ID",Account Number,Acc_Number_1_Tomswin,Account Number,Acc Num <> BLANK or NULL,,"TMS_Accounts,TMS_Transactions
","TMS_Accounts.ACCOUNT_SOURCE_UNIQUE_ID,TMS_Transactions.ACCOUNT_SOURCE_UNIQUE_ID",,,,,Cannot be blank or null with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMOPD","Entity Type
Account Opening Date",Acc_Open_Dt_1_AMS,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,FLACM,FLACM.FLMOPD,,,,,Cannot be blank and follow source date format with Entity Type
CPR,_,FTDWD602,FTDWD602.CB_ANNIV_DATE,"Entity Type
Account Opening Date",Acc_Open_Dt_1_CPR,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,FTDWD602,FTDWD602.CB_ANNIV_DATE,,,,,Cannot be blank and follow source date format with Entity Type
EAM,_,"CLMST
DBCAM","CLMST.C1TYPE
CLMST.C1JNDT","Entity Type
Account Opening Date (Join Date)",Acc_Open_Dt_1_EAM,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,CLMST,CLMST.C1JNDT,,,,,Cannot be blank and follow source date format with Entity Type
MRX,_,TRN_CPDF_DBF,TRN_CPDF_DBF.M_CREATION_DATE,"Entity Type
Account Opening Date",Acc_Open_Dt_1_MRX,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,TRN_CPDF_DBF,TRN_CPDF_DBF.M_CREATION_DATE,,,,,Cannot be blank and follow source date format with Entity Type
POR,_,"tblCustomers
pmf","tblCustomers.fldEntityType
tblCustomers.fldCreateDate","Entity Type
Account Opening Date",Acc_Open_Dt_1_POR,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,tblCustomers,tblCustomers.fldCreateDate,,,,,Cannot be blank and follow source date format with Entity Type
TCS,Loan,MIS006,MIS006.MI006_APPLIC_ISSUE_DATE,"Entity Type
Account Opening Date",Acc_Open_Dt_1_TCS_1,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,MIS006,MIS006.MI006_APPLIC_ISSUE_DATE,,,,,Cannot be blank and follow source date format with Entity Type
TCS,Deposit,MIS007,MIS007.MI007_ACCT_OPEN_DT,"Entity Type
Account Opening Date",Acc_Open_Dt_1_TCS_2,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,MIS007,MIS007.MI007_ACCT_OPEN_DT,,,,,Cannot be blank and follow source date format with Entity Type
Tomswin,_,TMS_Accounts,TMS_Accounts.DATE_OPENED,Account Opening Date,Acc_Open_Dt_1_Tomswin,Opening Account Date,Acc Open Dt <> blank & must follow SRC Dt format,,TMS_Accounts,TMS_Accounts.DATE_OPENED,,,,,Cannot be blank and follow source date format with Entity Type
AMS,_,"FLACM
FATBM","FLACM.FLMBGC
FATBM.FABREM","Entity Type
RM Code",Acc_RM_Cd_1_EAM_1,Remisier Code,RM cd <> 'BLANK',,FATBM,FATBM.FABREM,,,,,Cannot be blank with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1RMCD","Entity Type
RM Code",Acc_RM_Cd_1_EAM_2,Remisier Code,RM cd <> 'BLANK',,CLMST,CLMST.C1RMCD,,,,,Cannot be blank with Entity Type
MAS,_,CLMST,"CLMST.C1TYPE
CLMST.C1RMCD","Entity Type
RM Code",Acc_RM_Cd_1_MAS,Remisier Code,RM cd <> 'BLANK',,CLMST,CLMST.C1RMCD,,,,,Cannot be blank with Entity Type
MRX,_,TRN_CPDF_DBF,TRN_CPDF_DBF.M_RM_AMBANK,"Entity Type
RM Code",Acc_RM_Cd_1_MRX,RM Code,RM cd <> 'BLANK',,TRN_CPDF_DBF,TRN_CPDF_DBF.M_RM_AMBANK,,,,,Cannot be blank with Entity Type
TCS,Loan,MIS006,MI006_BORM_RM_CODE,"Entity Type
RM Code",Acc_RM_Cd_1_TCS_1,RM Code,RM cd <> 'BLANK',,MIS006,MIS006.MI006_BORM_RM_CODE,,,,,Cannot be blank with Entity Type
TCS,Deposit,MIS007,MI007_INVM_RM_CODE,"Entity Type
RM Code",Acc_RM_Cd_1_TCS_2,RM Code,RM cd <> 'BLANK',,MIS007,MIS007.MI007_INVM_RM_CODE,,,,,Cannot be blank with Entity Type
CLS,_,"CFADDR
CFCOLD
SSSTAT","CFADDR.CFNA2
CFCOLD.CCCOUN
SSSTAT.SSSTAC","Address Line 1
Country Code
State Code",Coll_Addr_Line1_1_CLS,Address_Line1,<> blank if Ctry/State cd hv a value for Prop Coll type,,CFADDR,CFADDR.CFNA2,"SSSTAT,CFCOLD","CFCOLD.CCCOUN,SSSTAT.SSSTAC",,,Cannot be blank if column 1 or column 2 has value with Collateral Type
TCS,Loan,MIS022,"MIS022.MI022_CPRO_ADDRESS_1
MIS022.MI022_CPRO_COUNTRY_CODE
MIS022.MI022_CTTL_STATE","Address Line 1
Country Code
State Code",Coll_Addr_Line1_1_TCS,Address_Line1,<> blank if Ctry/State cd hv a value for Prop Coll type,,MIS022,MIS022.MI022_CPRO_ADDRESS_1,MIS022,"MIS022.MI022_CPRO_COUNTRY_CODE,MIS022.MI022_CTTL_STATE",,,Cannot be blank if column 1 or column 2 has value with Collateral Type
CLS,_,CFCOLD,CFCOLD.CCDCAT,Collateral Category,Coll_Category_Cd_1_CLS,Collateral Category Code,Coll Category _ Must be a valid cd as per the cd decode,,CFCOLD,CFCOLD.CCDCAT,,,,,Cannot be blank if column 1 or column 2 has value with Collateral Type
